D:/Sources/Other/renderdoc-profiler-counters/example.rdc - Frame #4294967295

 EID  | Event                                                         | Action #
1534  |           - DrawIndexedInstanced(3300, 1)                     | 267   
1536  |           - DrawIndexedInstanced(3300, 1)                     | 268   
1538  |           - DrawIndexedInstanced(3300, 1)                     | 269   
1540  |           - DrawIndexedInstanced(3300, 1)                     | 270   
1542  |           - DrawIndexedInstanced(3300, 1)                     | 271   
1544  |           - DrawIndexedInstanced(3300, 1)                     | 272   
1546  |           - DrawIndexedInstanced(3300, 1)                     | 273   
1548  |           - DrawIndexedInstanced(3300, 1)                     | 274   
1550  |           - DrawIndexedInstanced(3300, 1)                     | 275   
1552  |           - DrawIndexedInstanced(3300, 1)                     | 276   
1554  |           - DrawIndexedInstanced(3300, 1)                     | 277   
1556  |           - DrawIndexedInstanced(3300, 1)                     | 278   
1558  |           - DrawIndexedInstanced(3300, 1)                     | 279   
1560  |           - DrawIndexedInstanced(3300, 1)                     | 280   
1562  |           - DrawIndexedInstanced(3300, 1)                     | 281   
1564  |           - DrawIndexedInstanced(3300, 1)                     | 282   
1566  |           - DrawIndexedInstanced(3300, 1)                     | 283   
1568  |           - DrawIndexedInstanced(3300, 1)                     | 284   
1570  |           - DrawIndexedInstanced(3300, 1)                     | 285   
1572  |           - DrawIndexedInstanced(3300, 1)                     | 286   
1574  |           - DrawIndexedInstanced(3300, 1)                     | 287   
1576  |           - DrawIndexedInstanced(3300, 1)                     | 288   
1578  |           - DrawIndexedInstanced(3300, 1)                     | 289   
1580  |           - DrawIndexedInstanced(3300, 1)                     | 290   
1582  |           - DrawIndexedInstanced(3300, 1)                     | 291   
1584  |           - DrawIndexedInstanced(3300, 1)                     | 292   
1586  |           - DrawIndexedInstanced(3300, 1)                     | 293   
1588  |           - DrawIndexedInstanced(3300, 1)                     | 294   
1590  |           - DrawIndexedInstanced(3300, 1)                     | 295   
1592  |           - DrawIndexedInstanced(3300, 1)                     | 296   
1594  |           - DrawIndexedInstanced(3300, 1)                     | 297   
1596  |           - DrawIndexedInstanced(3300, 1)                     | 298   
1598  |           - DrawIndexedInstanced(3300, 1)                     | 299   
1600  |           - DrawIndexedInstanced(3300, 1)                     | 300   
1602  |           - DrawIndexedInstanced(3300, 1)                     | 301   
1604  |           - DrawIndexedInstanced(3300, 1)                     | 302   
1606  |           - DrawIndexedInstanced(3300, 1)                     | 303   
1608  |           - DrawIndexedInstanced(3300, 1)                     | 304   
1610  |           - DrawIndexedInstanced(3300, 1)                     | 305   
1612  |           - DrawIndexedInstanced(3300, 1)                     | 306   
1617  |           - DrawIndexedInstanced(822, 1)                      | 307   
1619  |           - DrawIndexedInstanced(822, 1)                      | 308   
1621  |           - DrawIndexedInstanced(822, 1)                      | 309   
1623  |           - DrawIndexedInstanced(822, 1)                      | 310   
1625  |           - DrawIndexedInstanced(822, 1)                      | 311   
1627  |           - DrawIndexedInstanced(822, 1)                      | 312   
1629  |           - DrawIndexedInstanced(822, 1)                      | 313   
1631  |           - DrawIndexedInstanced(822, 1)                      | 314   
1633  |           - DrawIndexedInstanced(822, 1)                      | 315   
1635  |           - DrawIndexedInstanced(822, 1)                      | 316   
1637  |           - DrawIndexedInstanced(822, 1)                      | 317   
1639  |           - DrawIndexedInstanced(822, 1)                      | 318   
1641  |           - DrawIndexedInstanced(822, 1)                      | 319   
1643  |           - DrawIndexedInstanced(822, 1)                      | 320   
1645  |           - DrawIndexedInstanced(822, 1)                      | 321   
1647  |           - DrawIndexedInstanced(822, 1)                      | 322   
1649  |           - DrawIndexedInstanced(822, 1)                      | 323   
1651  |           - DrawIndexedInstanced(822, 1)                      | 324   
1653  |           - DrawIndexedInstanced(822, 1)                      | 325   
1655  |           - DrawIndexedInstanced(822, 1)                      | 326   
1657  |           - DrawIndexedInstanced(822, 1)                      | 327   
1659  |           - DrawIndexedInstanced(822, 1)                      | 328   
1661  |           - DrawIndexedInstanced(822, 1)                      | 329   
1663  |           - DrawIndexedInstanced(822, 1)                      | 330   
1665  |           - DrawIndexedInstanced(822, 1)                      | 331   
1669  |           - DrawIndexedInstanced(1374, 1)                     | 332   
1673  |           - DrawIndexedInstanced(792, 1)                      | 333   
1675  |           - DrawIndexedInstanced(792, 1)                      | 334   
1677  |           - DrawIndexedInstanced(792, 1)                      | 335   
1679  |           - DrawIndexedInstanced(792, 1)                      | 336   
1681  |           - DrawIndexedInstanced(792, 1)                      | 337   
1683  |           - DrawIndexedInstanced(792, 1)                      | 338   
1685  |           - DrawIndexedInstanced(792, 1)                      | 339   
1692  |         - RenderLoop.DrawSRPBatcher                           | 340-625
1702  |          \- DrawIndexedInstanced(792, 1)                      | 340   
1704  |           - DrawIndexedInstanced(792, 1)                      | 341   
1706  |           - DrawIndexedInstanced(792, 1)                      | 342   
1708  |           - DrawIndexedInstanced(792, 1)                      | 343   
1710  |           - DrawIndexedInstanced(792, 1)                      | 344   
1712  |           - DrawIndexedInstanced(792, 1)                      | 345   
1714  |           - DrawIndexedInstanced(792, 1)                      | 346   
1716  |           - DrawIndexedInstanced(792, 1)                      | 347   
1718  |           - DrawIndexedInstanced(792, 1)                      | 348   
1720  |           - DrawIndexedInstanced(792, 1)                      | 349   
1722  |           - DrawIndexedInstanced(792, 1)                      | 350   
1724  |           - DrawIndexedInstanced(792, 1)                      | 351   
1726  |           - DrawIndexedInstanced(792, 1)                      | 352   
1728  |           - DrawIndexedInstanced(792, 1)                      | 353   
1730  |           - DrawIndexedInstanced(792, 1)                      | 354   
1732  |           - DrawIndexedInstanced(792, 1)                      | 355   
1734  |           - DrawIndexedInstanced(792, 1)                      | 356   
1736  |           - DrawIndexedInstanced(792, 1)                      | 357   
1738  |           - DrawIndexedInstanced(792, 1)                      | 358   
1740  |           - DrawIndexedInstanced(792, 1)                      | 359   
1742  |           - DrawIndexedInstanced(792, 1)                      | 360   
1744  |           - DrawIndexedInstanced(792, 1)                      | 361   
1746  |           - DrawIndexedInstanced(792, 1)                      | 362   
1748  |           - DrawIndexedInstanced(792, 1)                      | 363   
1750  |           - DrawIndexedInstanced(792, 1)                      | 364   
1752  |           - DrawIndexedInstanced(792, 1)                      | 365   
1754  |           - DrawIndexedInstanced(792, 1)                      | 366   
1756  |           - DrawIndexedInstanced(792, 1)                      | 367   
1758  |           - DrawIndexedInstanced(792, 1)                      | 368   
1760  |           - DrawIndexedInstanced(792, 1)                      | 369   
1762  |           - DrawIndexedInstanced(792, 1)                      | 370   
1764  |           - DrawIndexedInstanced(792, 1)                      | 371   
1766  |           - DrawIndexedInstanced(792, 1)                      | 372   
1768  |           - DrawIndexedInstanced(792, 1)                      | 373   
1770  |           - DrawIndexedInstanced(792, 1)                      | 374   
1772  |           - DrawIndexedInstanced(792, 1)                      | 375   
1774  |           - DrawIndexedInstanced(792, 1)                      | 376   
1776  |           - DrawIndexedInstanced(792, 1)                      | 377   
1778  |           - DrawIndexedInstanced(792, 1)                      | 378   
1780  |           - DrawIndexedInstanced(792, 1)                      | 379   
1782  |           - DrawIndexedInstanced(792, 1)                      | 380   
1784  |           - DrawIndexedInstanced(792, 1)                      | 381   
1786  |           - DrawIndexedInstanced(792, 1)                      | 382   
1788  |           - DrawIndexedInstanced(792, 1)                      | 383   
1790  |           - DrawIndexedInstanced(792, 1)                      | 384   
